序号,指标类型1/2/3/4/5,点描述 ,点名,实际值,期望值,D//-D,上上限H,下下限L,触发标签,坏点时间,备用1,备用2,备用3
1,1,机组实际电负荷,N3DCS.3JTMP010S,FILTER1//5,CDATA['N3DCS.LDCDEMD2'],abs(CDATA['N3DCS.3X'])+10,360,0,CDATA['N3DCS.3BM04614'],,标题,MW,1
2,1,负荷设定,N3DCS.LDCDEMD2,,"max(min(CDATA['N3DCS.LDCDEMD2'],350),64)",5,350,50,CDATA['N3DCS.3BM04614'],,,,1
3,1//2,主蒸汽压力,N3DCS.3PTMS109S,,CDATA['N3DCS.THRPRSP2'],1.5,CDATA['N3DCS.THRPRSP2']+3,CDATA['N3DCS.THRPRSP2']-3,CDATA['N3DCS.3BM04614'],,标题,MPa,1
4,1//2//4,压力设定,N3DCS.THRPRSP2,,"Sfunline(CDATA['N3DCS.3CCSMSFLOW'],[200,8.5,400,9.5,550,11,750,14.5,950,16,1160,16.4])",1.5,17,7,CDATA['N3DCS.3BM04614'],,运行参数,,1
5,1,主蒸汽量,N3DCS.3CCSMSFLOW,FILTER//10,,,1160,180,CDATA['N3DCS.3BM04614'],100,标题,T/h,1
6,1,一次调频,N3DCS.3X,"Sfunline(3000-CDATA['N3DCS.WS'],[-350,-28,14,-28,-3,-4.5,-2,-2,-1.8,0,1.8,0,2,2,3,4.5,14,28,3000,28])*CDATA['N3DCS.3BR1']",,,28,-28,CDATA['N3DCS.3BM04614'],,,,1
7,1,给水量,N3DCS.3FTFW070X,,"max(min(CDATA['N3DCS.3FTFW070X'],1160),160)",10,1160,160,CDATA['N3DCS.3BM04614'],,标题,T/h,1
8,1//4,预计最大负荷能力,N3DCS.3MAXLOAD,"(min((CDATA['N3DCS.3ZACH11CPDI']+CDATA['N3DCS.3ZACH12CPDI']+CDATA['N3DCS.3ZACH13CPDI']+CDATA['N3DCS.3ZACH14CPDI'])*53,155)/AVG('N3DCS.3CCSTTCOALFL',360)*AVG('N3DCS.3CCSMSFLOW',360)-(AVG('N3DCS.3CCSMSFLOW',360)-AVG('N3DCS.3JTMP010S',360)*3.02))/3.02",,,500,CDATA['N3DCS.3JXMP604AI'],CDATA['N3DCS.3BM04614'],,标题,MW,1
9,1//4,总煤量,N3DCS.3CCSTTCOALFL,FILTER//6,CDATA['N3DCS.3CCSFUELSET']/100*165,10,numbmill*53.5,numbmill*22.5*CDATA['N3DCS.3BR2'],CDATA['N3DCS.3BM04614'],,标题,T/h,1
10,3,遥调状态,N3DCS.ADSMODE2,,,,CDATA['N3DCS.CTFMODE2']+CDATA['N3DCS.CBFMODE2'],CDATA['N3DCS.CTFMODE2']+CDATA['N3DCS.CBFMODE2'],CDATA['N3DCS.3BM04614'],,运行参数,,1
